CI ID,Node IP Address,Node Hostname,Resource IP Address,Resource Name,Operational Status,Resource Type,Resource Description,Resource Alias,Poll Period,Polling,Tags,Bandwidth Configured,Link Id,Link Name,Link Mode,ISP Name,Link Bundle Name,Link Bundle Capacity (Mbps),Requesters
"""129771153404233519689""",10.202.74.4,TVM_ATTINGAL_SW.federalbank.co.in,,Gi1/0/23,UP,Ethernet,GigabitEthernet1/0/23,STRING:,300,Enabled,,,,,Primary,,,,
"""131293914932198772805""",10.202.76.4,TVM_KUMARAPURAM_SWITCH.federalbank.co.in,,Gi1/0/3,UP,Ethernet,GigabitEthernet1/0/3,STRING:,300,Enabled,,,,,Primary,,,,
"""131293914932198772825""",10.202.76.4,TVM_KUMARAPURAM_SWITCH.federalbank.co.in,,Gi1/0/13,UP,Ethernet,GigabitEthernet1/0/13,STRING:,300,Enabled,,,,,Primary,,,,
"""131293914932198772847""",10.202.76.4,TVM_KUMARAPURAM_SWITCH.federalbank.co.in,,Gi1/0/24,UP,Ethernet,GigabitEthernet1/0/24,\--- Trunk to SEC ---,300,Enabled,,,,,Secondary,,,,
"""130240428288857084300""",10.202.88.4,TVM_PALAYAM_SALES-HUB_SWITCH.federalbank.co.in,,Gi1/0/5,UP,Ethernet,GigabitEthernet1/0/5,STRING:,300,Enabled,,,,,Primary,,,,
"""130240428288857084310""",10.202.88.4,TVM_PALAYAM_SALES-HUB_SWITCH.federalbank.co.in,,Gi1/0/10,UP,Ethernet,GigabitEthernet1/0/10,STRING:,300,Enabled,,,,,Primary,,,,
"""131200610313993982447""",10.203.0.109,THR_OLAVAKKODE_SINGLE.federalbank.co.in,10.237.3.146,Gi0/1,UP,Ethernet,GigabitEthernet0/1,\--- VODAFONE 4 Mbps ---,300,Enabled,Vodafone,,,,Primary,,,,
"""131372209788339360330""",10.203.0.105,THR_ANDATHODU.federalbank.co.in,10.100.241.101,Gi0/0.982,UP,L2 VLAN,GigabitEthernet0/0.982,\--- BSNL 4 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Primary,,,,
"""130461651524624847097""",10.202.65.4,TVM_ALAMKODE_Switch.federalbank.co.in,,Gi1/0/2,UP,Ethernet,GigabitEthernet1/0/2,STRING:,300,Enabled,,,,,Primary,,,,
"""130461651524624847125""",10.202.65.4,TVM_ALAMKODE_Switch.federalbank.co.in,,Gi1/0/16,UP,Ethernet,GigabitEthernet1/0/16,\--- TATA 4 mbps---,300,Enabled,,,,,Secondary,,,,
"""131299891975654740250""",10.202.67.4,TVM_PATTOOR-SERVICE_SW.federalbank.co.in,,Gi1/0/1,UP,Ethernet,GigabitEthernet1/0/1,STRING:,300,Enabled,,,,,Secondary,,,,
"""131299891975654740256""",10.202.67.4,TVM_PATTOOR-SERVICE_SW.federalbank.co.in,,Gi1/0/4,UP,Ethernet,GigabitEthernet1/0/4,STRING:,300,Enabled,,,,,Primary,,,,
"""131299891975654740294""",10.202.67.4,TVM_PATTOOR-SERVICE_SW.federalbank.co.in,,Gi1/0/23,UP,Ethernet,GigabitEthernet1/0/23,STRING:,300,Enabled,,,,,Primary,,,,
"""131040514165179421318""",10.202.88.240,TVM_PALAYAM_SALES_SWITCH.federalbank.co.in,,Gi1/0/24,UP,Ethernet,GigabitEthernet1/0/24,\--- To 10.202.88.4 ---,300,Enabled,,,,,Secondary,,,,
"""131328784085900333148""",10.202.64.4,TVM_MANGALAPURAM_SW.federalbank.co.in,,Gi1/0/9,UP,Ethernet,GigabitEthernet1/0/9,STRING:,300,Enabled,,,,,Secondary,,,,
"""131328784085900333168""",10.202.64.4,TVM_MANGALAPURAM_SW.federalbank.co.in,,Gi1/0/19,UP,Ethernet,GigabitEthernet1/0/19,STRING:,300,Enabled,,,,,Primary,,,,
"""131328784085900333174""",10.202.64.4,TVM_MANGALAPURAM_SW.federalbank.co.in,,Gi1/0/22,UP,Ethernet,GigabitEthernet1/0/22,\--- Trunk to Router ---,300,Enabled,,,,,Primary,,,,
"""129771153404233519724""",10.203.0.14,THR_KODUNGALLOOR_PRI.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,*** LAN ***,300,Enabled,,,,,Primary,,,,
"""131293914932198772879""",10.202.60.4,TVM_THRICHATTUKULAM_switch.federalbank.co.in,10.202.60.4,Vl1,UP,Prop Virtual,Vlan1,STRING:,300,Enabled,,,,,Primary,,,,
"""131293914932198772931""",10.202.60.4,TVM_THRICHATTUKULAM_switch.federalbank.co.in,,Gi1/0/23,UP,Ethernet,GigabitEthernet1/0/23,STRING:,300,Enabled,,,,,Primary,,,,
"""131359118353016820070""",10.203.0.19,THR_THRISUR_MAIN_SINGLE.federalbank.co.in,10.235.2.166,Gi0/0.985,UP,L2 VLAN,GigabitEthernet0/0.985,\--- sify 10 Mbps ---,300,Enabled,Sify,,,,Primary,,,,
"""130240428288857084395""",10.203.0.21,THR_VADANAPALLY_PRI.federalbank.co.in,10.203.21.1;10.203.21.2,BV1,UP,Ethernet,BVI1,\--- LAN ---,300,Enabled,Quadtri,,,,Primary,,,,
"""131372209788339360379""",10.203.0.22,THR_THALAKADATHUR_SINGLE.federalbank.co.in,,Gi0/0.1,UP,L2 VLAN,GigabitEthernet0/0.1,\--- LAN on subinterface ---,300,Enabled,,,,,Secondary,,,,
"""131340836862570795425""",10.203.0.15,THR_KUNNUMKULAM_PRI.federalbank.co.in,10.100.35.141,Gi0/1,UP,Ethernet,GigabitEthernet0/1,\--- BSNL 10 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Primary,,,,
"""128532233999239614662""",10.203.0.42,THR_THRIPAYAR_PRI.federalbank.co.in,10.203.42.1;10.203.42.2,BV1,UP,Ethernet,BVI1,*** LAN ***,300,Enabled,Quadtri,,,,Secondary,,,,
"""129771153404233519771""",10.203.0.23,THR_ALANALLUR_PRI.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,*** LAN ***,300,Enabled,,,,,Primary,,,,
"""130240428288857084432""",10.203.0.26,THR_KALLETTUMKARA_PRI.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,*** LAN ***,300,Enabled,,,,,Primary,,,,
"""131359118353016820110""",10.203.0.35,THR_MUTHALAMADA_PRI.federalbank.co.in,,Gi0/4,UP,Ethernet,GigabitEthernet0/4,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""131372209788339360422""",10.203.0.34,THR_OLAIKKARA_PRI.federalbank.co.in,10.100.35.101,Gi0/1,UP,Ethernet,GigabitEthernet0/1,\--- BSNL 6 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""131040514165179421375""",10.203.0.30,THR_POKKULANGARA_PRI.federalbank.co.in,10.203.30.1;10.203.30.2,BV1,UP,Ethernet,BVI1,*** LAN ***,300,Enabled,Quadtri,,,,Secondary,,,,
"""131299891975654740367""",10.203.0.52,THR_NENMARA_SINGLE.federalbank.co.in,10.235.2.186,Gi0/1.1,UP,L2 VLAN,GigabitEthernet0/1.1,\--- SIFY 4 Mbps ---,300,Enabled,Sify,,,,Primary,,,,
"""130809917231202308289""",10.203.29.4,THR_KULUKKALLUR_SW.federalbank.co.in,,Gi1/0/11,UP,Ethernet,GigabitEthernet1/0/11,STRING:,300,Enabled,,,,,Primary,,,,
"""131359314310094393444""",10.203.77.4,THR_IRINJALAKUDA_NADA_SW.federalbank.co.in,,Gi1/0/3,UP,Ethernet,GigabitEthernet1/0/3,STRING:,300,Enabled,,,,,Secondary,,,,
"""131200804845947719757""",10.204.0.12,KKD_KOZHIKODE_PRI.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,STRING:,300,Enabled,,,,,Secondary,,,,
"""129771326833133884106""",10.204.0.120,KKD_KUTTIADY_SINGLE.federalbank.co.in,10.100.125.157,Gi0/1,UP,Ethernet,GigabitEthernet0/1,\--- BSNL 4 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""130240615233214222594""",10.204.0.125,KKD_PULIKKAL_SINGLE.federalbank.co.in,,Gi0/0.1,UP,L2 VLAN,GigabitEthernet0/0.1,**** LAN on Sub-Interface ****,300,Enabled,,,,,Secondary,,,,
"""131341025179438420003""",10.204.0.129,KKD_KODENCHERRY_Single.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""131341025179438420017""",10.204.0.129,KKD_KODENCHERRY_Single.federalbank.co.in,10.204.129.1,BV1,UP,Ethernet,BVI1,\--- LAN ---,300,Enabled,Quadtri;Vodafone,,,,Secondary,,,,
"""131299891975654740589""",10.204.0.124,KKD_MAYYIL.federalbank.co.in,10.100.182.93,Gi0/0.982,UP,L2 VLAN,GigabitEthernet0/0.982,\--- BSNL 4 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""131328987011562344715""",10.204.0.14,KKD_BEYPORE_PRI.federalbank.co.in,10.100.33.185,Gi0/1,UP,Ethernet,GigabitEthernet0/1,\--- BSNL 6 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""131040727006578741409""",10.204.0.123,KKD_Uppala.federalbank.co.in,,Gi0/0.1,UP,L2 VLAN,GigabitEthernet0/0.1,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""131372426447696171109""",10.204.0.128,KKD-MEDICAL-COLLEGE-SINGLE.federalbank.co.in,,Gi0/0.1,UP,L2 VLAN,GigabitEthernet0/0.1,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""129771362185278132273""",10.204.0.28,KKD_SULTHANBATHERY-PRI.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,*** LAN ***,300,Enabled,,,,,Secondary,,,,
"""125374599055499333895""",10.204.0.22,KKD_MALAPPURAM_SINGLE.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""125374599055499333908""",10.204.0.22,KKD_MALAPPURAM_SINGLE.federalbank.co.in,10.204.22.1,BV1,UP,Ethernet,BVI1,\--- LAN ---,300,Enabled,Quadtri,,,,Secondary,,,,
"""131328987011562344758""",10.204.0.27,KKD_NILESWAR_PRI.federalbank.co.in,,Gi0/4,UP,Ethernet,GigabitEthernet0/4,*** LAN ***,300,Enabled,,,,,Secondary,,,,
"""131294112718932414621""",10.204.0.39,KKD_KELAKAM_PRI.federalbank.co.in,10.100.34.217,Gi0/1,UP,Ethernet,GigabitEthernet0/1,**** BSNL 6 Mbps ****,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""129771362185278132321""",10.204.0.30,KKD-THAMARASSERY-SINGLE.federalbank.co.in,,Gi0/1,UP,Ethernet,GigabitEthernet0/1,STRING:,300,Enabled,,,,,Secondary,,,,
"""129771362185278132331""",10.204.0.30,KKD-THAMARASSERY-SINGLE.federalbank.co.in,10.100.33.217,Gi0/0.982,UP,L2 VLAN,GigabitEthernet0/0.982,\--- BSNL 6 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""130240615233214222682""",10.204.0.31,KKD-PERAMBRA-PRI.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""131372426447696171152""",10.204.0.33,KKD_MANJERI_PRI.federalbank.co.in,10.100.34.81,Gi0/1,UP,Ethernet,GigabitEthernet0/1,****Bsnl 6 Mbps***,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
